ID;X;Y;LC;LS;MC;PLC;RSP;TI;TPI;TRI;TWI;VD;CNBL;DDR;DFI;DUI;ELEV;DECLI;ASP;LSF;VDCN
17;517654.9;6908908;0.007536;1.479124;-0.003114;0.005854;0.099354;5.079196;1.469982;1.193131;4.426767;27.219045;888.439259;4.384921;0.943354;11.310528;891.443958;10.84001;2.89688;2.148005;1.859558
18;517295;6908917;0.002967;2.276173;-0.000856;-0.003024;0.457606;3.615351;2.943358;1.50005;4.704346;12.248479;884.435207;2.845794;0.940053;10.19299;894.754485;14.75036;5.392511;1.905094;11.182739
19;517974;6908947;-0.003031;1.59121;-0.000609;0.002797;0.029559;5.071462;-2.383155;1.016804;5.763753;34.627949;895.700001;4.3614;0.945923;11.5;896.752834;19.458;2.683362;2.11602;5.699158
20;517499.9;6908963;-0.002255;1.219222;-0.003385;0.010751;0.334661;3.94237;1.307732;0.891768;5.461703;16.265128;886.49785;3.164313;0.946692;10.590182;894.654933;4.26121;0.570957;1.560747;12.707153
21;517428;6908974;-0.003281;1.252781;-0.0011;-0.000816;0.077852;4.175495;-2.454384;0.798673;6.47514;21.024643;885.60573;3.412729;0.946229;10.872685;887.377604;14.43462;5.975519;2.210107;8.597046
22;517159.9;6908983;-0.001225;2.095078;-0.003414;0.000888;0.061328;4.923377;-0.932165;1.344678;5.120232;27.806979;882.610774;4.235703;0.940353;11;884.429812;8.73509;3.661747;1.794889;2.37146
23;517539.9;6909003;1.30E-05;1.388135;0.000663;0.009247;0.152663;3.89191;0.35471;0.954484;5.604762;24.312764;886.629806;3.115998;0.945531;10.702608;890.999129;12.85671;0.095737;1.921556;6.842773
24;518028;6909004;-0.005946;2.615631;-0.002582;-0.007917;-0.033082;4.81947;-4.989891;1.460389;5.620485;37.701121;896.661387;4.12296;0.940759;10.614661;895.449977;20.15087;2.418143;2.099546;6.593201
25;517469;6909007;-0.000489;0.918802;-0.002172;0.013932;0.107159;4.184129;-0.45959;0.687616;5.949709;23.260084;886.060326;3.417444;0.947179;11.0674;888.849588;12.8428;6.121808;2.006731;7.310669
26;517259.9;6909038;-0.001053;1.412687;-0.000432;0.010558;0.130964;4.107755;0.048533;0.976742;5.53913;25.556769;883.241147;3.348082;0.944708;10.93019;887.091265;8.32597;1.109912;1.893309;5.367371
27;517995;6909045;0.005285;1.600222;-0.003503;-0.016079;0.229777;4.813069;2.030967;1.14473;4.947934;27.345172;896.767439;4.087476;0.946058;11.000016;904.919818;17.90053;2.375975;1.86652;13.613525
28;518044.9;6909053;-0.005096;2.664528;-0.002111;-0.0073;0.055929;5.088225;-3.597658;1.533687;5.345371;34.787976;896.782493;4.411077;0.940336;11;898.840443;19.66577;2.342882;2.075788;5.370361
29;517783;6909021;0.003247;0.163947;-0.001186;-0.02737;0.183263;4.575229;3.398318;0.197885;6.659681;27.95209;891.874407;3.811936;0.950809;11.63965;898.147001;15.63184;4.11298;1.803322;9.877625
30;518124.9;6909123;0.00376;1.159516;-0.003149;0.055765;0.194231;4.922851;2.159374;1.086702;4.116478;29.750752;896.780029;4.198918;0.946999;11.472724;903.951458;13.88788;2.631332;1.964667;6.761902
31;517485;6909125;-0.000104;1.497551;-0.004781;-0.048694;-0.003485;4.797451;-1.878716;0.572227;9.970632;29.259395;888.900882;4.06091;0.947948;11.259394;888.799557;9.98837;3.083628;2.952563;2.891235
